1,365FarmNet(Claas)
2,Aachen University of Applied Sciences
3,AB VOLVO
4,Abemec BV
5,Abundant Robotics
6,AC Damate
7,Accenture plc
8,Adama Agricultural Solutions
9,Advanced Farm Technologies
10,Ag Growth International Inc (AGI)
11,Ag Leader Technology
12,AGC Bor Glassworks
13,AGCO Corporation
14,AGCO-RM
15,AGI EMEA Srl (Ag Growth International)
16,Agintegrated
17,Agjunction
18,Agrar-Markt DEPPE GmbH
19,AGRAVIS Fläming-Mittelelbe GmbH
20,Agravis Ost
21,AGRAVIS Raiffeisen AG
22,AgreenCulture
23,Agri CS a.s.
24,Agrian
25,AgriArgo Ibérica
26,Agri-Epi Centre
27,Agrifac (Exel Industries)
28,Agrifac Machinery B.V.
29,Agrimulsa
30,Agrisem International S.A.S.
31,Agrointelli
32,Agrotec a.s. (Agrotec Group)
33,Agrotec Magyarország
34,AgroVision
35,AgroVista Holding
36,Agsolco Ukraine
37,AgXtend (CNHI)
38,Ahern Deutschland GmbH
39,Ahern International
40,A-K Maskiner
41,Alamo Group
42,Alan Snow Agricultural Engineers
43,Ålgård Landbrukssenter
44,Ålö AB
45,Alpego SpA
46,Alphabet Inc
47,Amazone
48,AMAZONEN-Werke H. Dreyer GmbH & Co. KG
49,American Society of Agricultural and Biological Engineers
50,Amkodor
51,Antonio Carraro S.p.A.
52,Apache Sprayers
53,APV
54,Arag Srl
55,Arbo Spol s.r.o.
56,Arbos (Lovol)
57,Argentine Chamber of Forage Contractors (CACF)
58,Argentine Federation of Agricultural Machinery Contractors (FACMA)
59,Argo GmbH
60,Argo Tractors SpA
61,Arla Foods
62,Asa-Lift
63,Astarta–Kyiv
64,ATOS SE
65,ATR Landhandel
66,August Bruns Landmaschinen GmbH
67,AVR
68,Axiál Kft
69,Bakker Ulrum BV
70,Baltic Agro AS
71,BARCLAYS PLC
72,BARO Lagerhaus GmbH & Co. KG
73,Barto AG
74,BAYER AG
75,BayWa AG
76,BayWa r.e.
77,BCS SpA
78,Bednar FMT sro
79,Bednar UK
80,Belagrospetsmash
81,Bell Equipment
82,Ben Burgess
83,Ben-Gurion University of the Negev
84,Bernard Krone Holding GmbH & Co.KG
85,Berthoud (Exel Industries)
86,Birž? žemtiekimas
87,Blue River Technology (Deere & Co.)
88,BMW AG
89,Bobruiskagromash Holding
90,Bosch
91,Bosch Rexroth
92,Boston Dynamics
93,BR Industrier AS
94,Bryanskselmash
95,Bucher Industries AG
96,Bucher Municipal
97,Bühler AG
98,Buhler Industries Inc
99,Bundesbeschaffung GmbH (BBG)
100,Bunge Limited
101,Bushel Plus
102,Camso
103,Cargill Inc
104,Carraro International SE
105,Carraro SpA
106,Carraro Tractors (Carraro Group)
107,Carré
108,CARRS BILLINGTON AGRICULTURAL
109,Case Construction (CNHI)
110,Case IH (CNHI)
111,Caterpillar
112,Caussade Semences
113,Challenger (AGCO)
114,Chandlers Farm Equipment
115,Cherkizovo Group
116,Chinese Academy of Sciences
117,Claas
118,Claas Financial Services
119,Claas France
120,Claas Harvest Centre
121,Claas India
122,CLAAS Industrietechnik GmbH
123,CLAAS KGaA mbH
124,Claas Material Handling GmbH
125,CLAAS of America
126,Claas Polska
127,Claas Russia
128,Claas Tractor SAS
129,Claas UK
130,Claas Vertriebsgesellschaft GmbH
131,Claas Vostok
132,Claas Württemberg
133,Clean Seed Capital Group
134,CNH Industrial Capital
135,CNH Industrial Finance Europe S.A.
136,CNH INDUSTRIAL N.V.
137,CNH Industrial Polska
138,Cofabel
139,COFCO International
140,Cognitive Pilot
141,Colven Brasil
142,Commoditrader
143,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
144,COMPANIE GÉNÉRALE DES ÉTABLISSEMENTS MICHELIN SCA
145,Concern Tractor Plants (CTP)
146,CONTINENTAL AG
147,Continental Farmers Group
148,Cornell University
149,Cornthwaite Group
150,Corteva Agriscience
151,Court of Modena
152,CREA Victoria Group
153,Cropio
154,CropX
155,Cummins Inc
156,Cygnet Holding
157,Dana Incorporated
158,Danish Agro
159,Danish Agro Machinery Holding A/S
160,Danish Technological Institute
161,Dansk Landbrugs Grovvareselskab (DLG A.m.b.A.)
162,DASSAULT SYSTÈMES S.A.
163,Datalogisk
164,De Lage Landen International B.V. (DLL Group)
165,Decisive Farming Corp.
166,Deere & Company
167,Delair
168,Denizbank
169,DEUTSCHE GESELLSCHAFT FÜR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH
170,DEUTSCHE TELEKOM AG
171,Deutscher Bundestag
172,Deutsches Zentrum für Luft- und Raumfahrt (DLR)
173,DEUTZ AG
174,Deutz-Fahr (SDF Group)
175,Deutz-Fahr Austria Landmaschinen GmbH
176,Dewulf
177,Dieci
178,Dixie Chopper
179,DJI
180,DLF
181,Dongfeng Motor Group
182,Doosan Bobcat
183,Drone Ag
184,DroneDeploy
185,Dutch Power Company
186,Ecobotix
187,Ecole polytechnique fédérale de Lausanne (EPFL)
188,eFarm GmbH & Co. KG (e-farm.com)
189,eFarmer B.V.
190,Eikmaskin AS
191,Einböck
192,Einböck GmbH & Co. KG.
193,Ekoniva Group
194,EkoNivaAgro
195,EkoNiva-Technika Group
196,Ekosem-Agrar
197,Ekotechnika AG
198,Elmec
199,Energifabriken
200,Epicenter K
201,Equipment Technologies (Exel Industries)
202,Escorts Kubota India Private Limited
203,Escorts Limited
204,ETH Zurich
205,Euralis Semences
206,Eurasia Group Kazakhstan
207,European Bank for Reconstruction and Development (EBRD)
208,European Space Agency (ESA)
209,European Union (EU)
210,Eurotechnics
211,Eurotechnika (?? ???????????)
212,Evrard (Exel Industries)
213,Exel Industries
214,EXXACT Robotics
215,Faresin Industries
216,Farm King
217,Farmdroid
218,Farmers Edge
219,Farmertronics
220,Farmet
221,Farming Agrícola
222,Farmstore
223,FarmX
224,Farol
225,FaunaPhotonics
226,Faurecia S.A.
